ExampleSat.UTCGregorian    ExampleSat.X              ExampleSat.Y              ExampleSat.Z              ExampleSat.VX             ExampleSat.VY             ExampleSat.VZ             
13 May 2002 11:55:15.696   3616.037642480094         2919.122460924355         5471.526472135889         5.399338975995428         2.109456270264538         -4.682848357216937        
13 May 2002 11:56:55.696   4135.587666378405         3114.015109205374         4974.626430451263         4.982330887179079         1.78489659812014          -5.2462529115759          
13 May 2002 11:58:35.696   4610.715343082197         3275.458658837765         4424.154966494769         4.511685657395108         1.441074391338262         -5.753305083250586        
13 May 2002 12:00:15.696   5036.304617466689         3401.710104522062         3826.028097193605         3.992451938343585         1.08168783111884          -6.19849472296185         
13 May 2002 12:01:55.696   5407.771861782677         3491.405535568924         3186.68024641897          3.430220220274883         0.7106136628656385        -6.576974623357962        
13 May 2002 12:03:35.696   5721.11716483904          3543.575891393659         2512.994899897319         2.831063568848955         0.3318646651176743        -6.884620251161913        
13 May 2002 12:05:15.696   5972.969317268741         3557.658324906284         1812.229665943584         2.201470943396987         -0.05045554033205434      -7.118081611385628        
13 May 2002 12:06:55.696   6160.623785176934         3533.502938863911         1091.936600117445         1.548273861283152         -0.4321996865454559       -7.274825889306323        
13 May 2002 12:08:35.696   6282.073057625546         3471.37473273343          359.8787779717249         0.8785674667155376        -0.8092252873409913       -7.353169685465324        
13 May 2002 12:10:15.696   6336.028872834372         3371.95068088839          -376.0557937681816        0.1996273225132875        -1.177443413605409        -7.352299913030458        
13 May 2002 12:11:55.696   6321.935970758232         3236.311954240512         -1107.941757938105        -0.4811765517412142       -1.532866887928614        -7.272282751368921        
13 May 2002 12:13:35.696   6239.977179899169         3065.931390910887         -1827.904272074137        -1.156466747986114        -1.871656963122469        -7.11406042186235         
13 May 2002 12:15:15.696   6091.06981336919          2862.656413496132         -2528.205943233868        -1.818944953003812        -2.190167594269534        -6.879435943023927        
13 May 2002 12:16:55.696   5876.853516838016         2628.687674827718         -3201.33165566254         -2.461476207190176        -2.484986508594912        -6.571046404187621        
13 May 2002 12:18:35.696   5599.669868188234         2366.553786884343         -3840.070186372746        -3.077169434888711        -2.752972410864617        -6.192325640421607        
13 May 2002 12:20:15.696   5262.534169439843         2079.082546239904         -4437.591605003759        -3.659452950592665        -2.991287824050407        -5.747457473326239        
13 May 2002 12:21:55.696   4869.099986280585         1769.369108954846         -4987.51958496767         -4.202143914925617        -3.19742724562819         -5.241320879819447        
13 May 2002 12:23:35.696   4423.617079045865         1440.741591710418         -5483.997891531288        -4.699511010791559        -3.369240479364861        -4.679428558237904        
13 May 2002 12:25:15.696   3930.88342534118          1096.724580505593         -5921.750462195888        -5.146329920463795        -3.504951172234379        -4.067860369360969        
13 May 2002 12:26:55.696   3396.192060988091         741.0010176441438         -6296.134638255874        -5.537931476122687        -3.603170729969175        -3.413193047526165        
13 May 2002 12:28:35.696   2825.273467245284         377.3729157980216         -6603.187236603828        -5.870242607638477        -3.662907893522496        -2.722427419128139        
13 May 2002 12:30:15.696   2224.234207066146         9.721314328311299         -6839.663265600761        -6.139820408418317        -3.683574327035217        -2.002914144756988        
13 May 2002 12:31:55.696   1599.492477370485         -358.0341413916149        -7003.067175431322        -6.343879761738594        -3.664986590583528        -1.262278753158207        
13 May 2002 12:33:35.696   957.7111960230543         -721.9756543415741        -7091.676598256079        -6.480315018844153        -3.607364852136336        -0.5083464753239193       
13 May 2002 12:35:15.696   305.7291951577342         -1078.227452722653        -7104.55857175091         -6.547716191931384        -3.511328636423137        0.25093285037765          
13 May 2002 12:36:55.696   -349.5089499017027        -1422.995404070351        -7041.5782568993          -6.545380030961108        -3.377889823199044        1.007559726448271         
13 May 2002 12:38:35.696   -1001.023954028277        -1752.605796181231        -6903.400161933761        -6.473316206803623        -3.208443005474977        1.753559850723953         
13 May 2002 12:40:15.696   -1641.87323286001         -2063.543022122734        -6691.481876201219        -6.332248644911605        -3.004753211105839        2.48105898929149          
13 May 2002 12:41:55.696   -2265.222196847097        -2352.485900138849        -6408.06030795671         -6.123611864584333        -2.768940893749398        3.182357949650978         
13 May 2002 12:43:35.696   -2864.414913795304        -2616.34234710675         -6056.130417187203        -5.84954200392542         -2.503464022151172        3.8500076330895           
13 May 2002 12:45:15.696   -3433.043586063222        -2852.282104798536        -5639.416444874312        -5.512862070493092        -2.21109705088928         4.476883971867767         
13 May 2002 12:46:55.696   -3965.016236628527        -3057.767195429071        -5162.33567180974         -5.117060873441702        -1.894906549509693        5.056262330415947         
13 May 2002 12:48:35.696   -4454.621946071257        -3230.579763696338        -4629.954792547505        -4.666265074948868        -1.558223300745321        5.581890700349535         
13 May 2002 12:50:15.696   -4896.592926137553        -3368.846946028064        -4047.939071602063        -4.165203859805484        -1.204610756905013        6.048060760198338         
13 May 2002 12:51:55.696   -5286.162673888552        -3471.062402997852        -3422.494551973472        -3.619165857636766        -0.8378298571655803       6.44967564179283          
13 May 2002 12:53:35.696   -5619.119423158553        -3536.104157826824        -2760.303711323935        -3.033948159030277        -0.4618003526819414       6.782313063104655         
13 May 2002 12:55:15.696   -5891.854107279772        -3563.248406514478        -2068.455099845489        -2.415797529043289        -0.08055894806455122      7.042282377711868         
13 May 2002 12:56:55.696   -6101.402070876951        -3552.179003952903        -1354.367642393957        -1.77134422359928         0.30178526383843          7.226674066872254         
13 May 2002 12:58:35.696   -6245.477825904853        -3502.992386041671        -625.7104281521928        -1.107529125342541        0.6810974406880237        7.333400273874105         
13 May 2002 13:00:15.696   -6322.502231938231        -3416.197757590299        109.6810529921895         -0.4315252215792569       1.05326493218471          7.361225145428572         
13 May 2002 13:01:55.696   -6331.621597124307        -3292.712458154953        843.891158432502          0.2493452876640961        1.414245653681355         7.30978399907191          
13 May 2002 13:03:35.696   -6272.718335227729        -3133.852507900075        1569.011673572454         0.9276967546650345        1.760115963873716         7.179590657902421         
13 May 2002 13:05:15.696   -6146.412971057612        -2941.318429615827        2277.229523131901         1.596167089593047         2.087117109223428         6.972032663793077         
13 May 2002 13:06:55.696   -5954.057452730602        -2717.176534382186        2960.913404698415         2.247504330579755         2.391699341798532         6.689354468957186         
13 May 2002 13:08:35.696   -5697.719895719962        -2463.835944534152        3612.698160928491         2.874651141068317         2.670562904446634         6.33462908534149          
13 May 2002 13:10:15.696   -5380.16104195548         -2184.021701890785        4225.565774059014         3.470825726900887         2.92069520712             5.911719012761387         
13 May 2002 13:11:55.696   -5004.802858641713        -1880.744369282579        4792.921962644685         4.029597866114806         3.13940367560923          5.425227545251439         
13 May 2002 13:13:35.696   -4575.689821333808        -1557.266577845174        5308.66747934531          4.544958997981648         3.324343926356555         4.88044175422609          
13 May 2002 13:15:15.696   -4097.443515632152        -1217.066997115645        5767.263347819526         5.011385607723194         3.473543096488771         4.283268550441789         
13 May 2002 13:16:55.696   -3575.211255653749        -863.8022154702214        6163.789415659861         5.423895433273778         3.585418318012902         3.64016524017336          
13 May 2002 13:18:35.696   -3014.609450015071        -501.2670116660736        6493.995741025943         5.778096296349127         3.658790461423862         2.958065913436931         
13 May 2002 13:20:15.696   -2421.662453478818        -133.3534801890024        6754.346457719448         6.070227592322945         3.692893374015708         2.244304852548757         
13 May 2002 13:21:55.696   -1802.737631325205        235.9905517967554         6942.055872150563         6.297194645644752         3.687378897119195         1.506537950987293         
